,business_name,address,zipcode,business_type,website,city_name
284,Home Sweet Harlem,"1528 Amsterdam Avenue, NY 10031",NY 10031,"Restaurant, Catering, Casual",https://homesweetharlem.nyc/,New York
285,Ruby's Vintage,"2340 Adam Clayton Powell Junior Boulevard, NY 10030",NY 10030,"Restaurant, Casual",https://www.rubysvintageharlem.com/,New York
286,Modern Urban Sensory Experiences (MUSE),"66 EDGECOMBE AVENUE, NY 10030",NY 10030,Retail,https://museexperiences.com/,New York
287,Belle Harlem,"2363 Adam Clayton Powell Junior Boulevard, NY 10030",NY 10030,"Restaurant, Dining",https://www.belleharlem.com/,New York
288,Reverence,"2592 Frederick Douglass Boulevard, NY 10030",NY 10030,"Restaurant, Dining",https://reverence.nyc/,New York
289,Build the Blocking Consulting,"70 W 139th St, NY 10037",NY 10037,Misc. Professional Services,https://buildtheblock.io/,New York
290,Ponty Bistro,"2375 Adam Clayton Powell Junior Boulevard, NY 10030",NY 10030,"Restaurant, Seafood",https://www.pontybistroharlemny.com/,New York
291,The Edge Harlem,"101 Edgecombe Avenue, NY 10030",NY 10030,"Restaurant, Casual",https://www.theedgeharlem.com/,New York
292,Jamaica Breeze,"103-02 Astoria Boulevard, NY 11369",NY 11369,"Restaurant, Caribbean, Bakery, Catering",https://jamaicabreezenyc.com/,New York
293,The Wine Room Of Forest Hills,"96-9 69th Avenue, NY 11375",NY 11375,"Grocery, Wine & Spirits",,New York
294,Feva Nation LLC,"124 Adams Street, NJ 07105",NJ 07105,Entertainment & Media,,New York
295,Sam's Soulfood,"598 Grand Concourse, NY 10451",NY 10451,"Restaurant, Soul Food, Bar",https://www.samssoulfood.com/,New York
296,Benyam,"2795 Frederick Douglass Boulevard, NY 10039",NY 10039,"Restaurant, Catering, Ethiopian",https://www.benyamcuisine.com/,New York
297,Tsion Cafe,"763 Saint Nicholas Avenue, NY 10031",NY 10031,"Ethiopian, Ethnic, Bakery, Cafe, Restaurant",https://tsioncafe.com/,New York
298,Tri Lounge And Cafe,"1938 Clove Road, NY 10304",NY 10304,"Restaurant, Vegan, Healthy Food",https://triloungeandcafe.com/,New York
299,Heat Caribbean Kitchen & Lounge,"100-05 Atlantic Avenue, NY 11418",NY 11418,"Bar, Caribbean, Restaurant",https://heatcaribbeankitchenandlounge.com/,New York
300,Juice 101 Nyc,"97-16 101st Avenue, NY 11416",NY 11416,"Healthy Food, Juice Bar, Restaurant",,New York
301,City National Bank of New Jersey,"900 Broad St, NJ 07102",NJ 07102,Bank,https://www.citynatbank.com/,New York
302,Mother Earth Juice Bar & Health Foods,"116-03 Metropolitan Avenue, NY 11418",NY 11418,"Healthy Food, Juice Bar, Restaurant",https://motherearthjuice.com/,New York
303,Queens Bully,"113-30 Queens Boulevard, NY 11375",NY 11375,"Restaurant, Bbq",https://www.queensbully.com/,New York
304,Quality Auto Mall,"55 Route 17 N., NJ 07070",NJ 07070,Car Dealership,https://www.qualityautomall.com/,New York
305,Flavas International Grill,"853 Gerard Avenue, NY 10451",NY 10451,"Restaurant, Caribbean",https://www.eatflavasbx.com/,New York
306,Koten's Caribbean And American Restaurant,"537 Port Richmond Avenue, NY 10302",NY 10302,"Restaurant, Caribbean, Soul Food",,New York
307,Bical Auto Mall,"2859 Flatbush Ave, NY 11234",NY 11234,Car Dealership,https://www.bicalautomall.com/,New York
308,Hazel Southern Bar & Kitchen,"1446 Market Street, CA 94102",CA 94102,"Restaurant, Bar, Casual",https://www.hazelsf.com/,San Francisco
309,Voodoo Love,"1710 Mission Street, CA 94103",CA 94103,"Restaurant, Seafood, Casual",https://www.voodoolovesf.com/,San Francisco
310,Sextant Coffee,"1415 Folsom Street, CA 94103",CA 94103,"Ethiopian, Ethnic, Coffee Shop, Cafe, Restaurant",https://sextantcoffee.com/,San Francisco
311,Boug Cali,"101 Hyde Street, CA 94102",CA 94102,"Restaurant, Seafood",https://bougcali.com/,San Francisco
312,Two Jack's Seafood,"401 Haight Street, CA 94117",CA 94117,"Restaurant, Soul Food, Seafood",https://www.twojacksniksplace.com/,San Francisco
313,Cafe International,"508 Haight Street, CA 94117",CA 94117,"Restaurant, Coffee Shop, Cafe",,San Francisco
314,Zzoul Cafe,"295 Eddy Street, CA 94102",CA 94102,"Restaurant, Ethnic, African, Cafe",https://zzoulcafe.com/,San Francisco
315,Tadu Ethiopian Kitchen,"484 Ellis Street, CA 94102",CA 94102,"Restaurant, Ethnic, African, Ethiopian",https://taduethiopiankitchen.com/,San Francisco
316,Axum Cafe,"698 Haight Street, CA 94117",CA 94117,"Restaurant, African, Ethiopian, Cafe",https://www.axumcafesf.com/,San Francisco
317,Sheba Piano Lounge,"1419 Fillmore Street, CA 94115",CA 94115,"Restaurant, Bar, Lounge",https://www.shebapianolounge.com/,San Francisco
318,Flavas Jamaican Grill,"60 Morris Street, CA 94107",CA 94107,"Restaurant, Caribbean, Catering",https://flavasjamaicangrillsf.com/,San Francisco
319,Oasis Cafe,"901 Divisadero Street, CA 94115",CA 94115,"Restaurant, Eritrean, Ethiopian",https://www.oasiscafesf.com/,San Francisco
320,Cafe Ethiopia,"878 Valencia Street, CA 94110",CA 94110,"Restaurant, Ethnic, African, Ethiopian",,San Francisco
321,Nombe,"2491 Mission Street, CA 94110",CA 94110,"Restaurant, Catering",https://www.nombesf.com/,San Francisco
322,Little Skillet,"360 Ritch Street, CA 94107",CA 94107,"Restaurant, Soul Food, Catering",https://www.littleskilletsf.com/,San Francisco
